rat,half,dPrime,controlLesion,ambiguity
1,1,3.87586302170566,1,1
2,1,3.87586302170566,1,1
3,1,3.35403729599401,1,1
4,1,3.33245463657794,1,1
5,1,3.87446980959561,1,1
1,1,2.65442901103082,1,2
2,1,2.84909511612904,1,2
3,1,1.29007970891301,1,2
4,1,2.3116224865734,1,2
5,1,1.26638837859457,1,2
1,1,1.93793151085283,2,1
2,1,2.12868507908416,2,1
3,1,2.60965661427947,2,1
4,1,2.30116559111263,2,1
5,1,1.81891183077753,2,1
1,1,1.70163349106501,2,2
2,1,2.53334350747665,2,2
3,1,3.35403729599401,2,2
4,1,2.23791676212512,2,2
5,1,2.83736641852006,2,2
1,2,3.35011908975899,1,1
2,2,3.87586302170566,1,1
3,2,3.35403729599401,1,1
4,2,3.87026235698071,1,1
5,2,3.35403729599401,1,1
1,2,1.61593240784523,1,2
2,2,1.84073993443723,1,2
3,2,2.84909511612904,1,2
4,2,1.12322175204936,1,2
5,2,1.68661555892635,1,2
1,2,1.61593240784523,2,1
2,2,2.01839328872979,2,1
3,2,1.71780859673123,2,1
4,2,2.52485637901522,2,1
5,2,2.23791676212512,2,1
1,2,1.45939424621665,2,2
2,2,2.01198350055018,2,2
3,2,2.52485637901522,2,2
4,2,2.01839328872979,2,2
5,2,0.767122055391063,2,2
