rat,half,dPrime,controlLesion,ambiguity
1,1,4.59908592965812,1,1
2,1,4.23580504552988,1,1
3,1,4.23427654464943,1,1
4,1,4.23580504552988,1,1
5,1,3.78519594615895,1,1
6,1,4.23710016122865,1,1
7,1,3.78529133575194,1,1
8,1,4.23580504552988,1,1
9,1,3.98343163364375,1,1
10,1,4.60923677761831,1,1
11,1,3.98343163364375,1,1
12,1,4.23580504552988,1,1
13,1,4.22089923539762,1,1
14,1,4.23710016122865,1,1
15,1,4.23042366169481,1,1
16,1,4.61575021965359,1,1
17,1,4.61866966142444,1,1
18,1,4.23042366169481,1,1
19,1,3.78529133575194,1,1
20,1,4.23580504552988,1,1
21,1,3.98484682305701,1,1
22,1,4.61866966142444,1,1
23,1,4.59908592965812,1,1
24,1,3.77799463834873,1,1
25,1,4.23042366169481,1,1
26,1,3.98484682305701,1,1
27,1,4.23710016122865,1,1
28,1,3.98176879252058,1,1
29,1,4.23042366169481,1,1
30,1,4.23427654464943,1,1
31,1,4.23042366169481,1,1
32,1,4.61866966142444,1,1
33,1,4.60923677761831,1,1
34,1,4.23580504552988,1,1
35,1,4.61575021965359,1,1
36,1,4.23042366169481,1,1
37,1,4.23710016122865,1,1
38,1,4.59908592965812,1,1
39,1,4.61866966142444,1,1
40,1,4.20708235415703,1,1
41,1,4.60923677761831,1,1
42,1,3.78766878416854,1,1
43,1,4.61866966142444,1,1
44,1,4.61575021965359,1,1
45,1,4.23042366169481,1,1
46,1,4.6179655893906,1,1
47,1,4.61575021965359,1,1
48,1,4.59908592965812,1,1
1,1,3.29426747787957,1,2
2,1,3.47411908798324,1,2
3,1,3.61997449280183,1,2
4,1,3.45924008745318,1,2
5,1,3.60212229212185,1,2
6,1,2.04429792119723,1,2
7,1,2.03885215507227,1,2
8,1,3.21690028909257,1,2
9,1,3.96159380440484,1,2
10,1,3.3155374338517,1,2
11,1,2.09001592076772,1,2
12,1,2.06745304138724,1,2
13,1,3.53105814118163,1,2
14,1,3.60212229212185,1,2
15,1,1.96768770163681,1,2
16,1,3.77799463834873,1,2
17,1,3.78766878416854,1,2
18,1,3.60212229212185,1,2
19,1,2.59252417088875,1,2
20,1,3.97409077875956,1,2
21,1,4.23710016122865,1,2
22,1,3.29426747787957,1,2
23,1,1.58405208547229,1,2
24,1,3.47411908798324,1,2
25,1,1.77607492823925,1,2
26,1,3.60212229212185,1,2
