rat,half,dPrime,controlLesion,ambiguity
1,1,3.98484682305701,1,1
2,1,1.60713868178815,1,1
3,1,3.61997449280183,1,1
4,1,3.21077058038968,1,1
5,1,3.78519594615895,1,1
6,1,3.60212229212185,1,1
7,1,3.98176879252058,1,1
8,1,4.23710016122865,1,1
9,1,3.78766878416854,1,1
1,1,3.44301214212526,1,2
2,1,1.63523096751645,1,2
3,1,3.42041876294309,1,2
4,1,3.45924008745318,1,2
5,1,3.15163402897727,1,2
6,1,1.08972026041927,1,2
7,1,1.85534828395237,1,2
8,1,3.61374500138063,1,2
9,1,2.94463652710685,1,2
1,1,4.59908592965812,2,1
2,1,4.60923677761831,2,1
3,1,4.61575021965359,2,1
4,1,4.61575021965359,2,1
5,1,4.60923677761831,2,1
6,1,4.58517948896251,2,1
7,1,4.60923677761831,2,1
8,1,4.59908592965812,2,1
9,1,4.56731774460614,2,1
1,1,4.61575021965359,2,2
2,1,4.60923677761831,2,2
3,1,4.59908592965812,2,2
4,1,4.61866966142444,2,2
5,1,4.58517948896251,2,2
6,1,4.61866966142444,2,2
7,1,4.60923677761831,2,2
8,1,4.61866966142444,2,2
9,1,4.60923677761831,2,2
1,2,2.61562265637155,1,1
2,2,2.62307488574054,1,1
3,2,4.58021496624974,1,1
4,2,3.69649921566592,1,1
5,2,1.88036154487039,1,1
6,2,3.36491302989642,1,1
7,2,4.26559571443272,1,1
8,2,4.63490201185359,1,1
9,2,4.20221617602431,1,1
1,2,1.21874197585806,1,2
2,2,2.24452083469517,1,2
3,2,1.02363637721369,1,2
4,2,2.05380598737254,1,2
5,2,1.47011254791245,1,2
6,2,1.033811303994,1,2
7,2,1.43395626863083,1,2
8,2,3.61374500138063,1,2
9,2,1.26369059143899,1,2
1,2,4.58021496624974,2,1
2,2,4.60923677761831,2,1
3,2,4.63490201185359,2,1
4,2,4.63490201185359,2,1
5,2,4.60923677761831,2,1
6,2,4.54757616279058,2,1
7,2,4.60923677761831,2,1
8,2,4.58021496624974,2,1
9,2,4.51098160319111,2,1
1,2,4.63490201185359,2,2
2,2,4.60923677761831,2,2
3,2,4.58021496624974,2,2
4,2,4.65740487466563,2,2
5,2,4.54757616279058,2,2
6,2,4.65740487466563,2,2
7,2,4.60923677761831,2,2
8,2,4.65740487466563,2,2
9,2,4.60923677761831,2,2
